ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
402661,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000108","20180701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",567.917,,,"20191129"
402665,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000030","20120701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",578.986,,,"20191206"
406245,"Sud-Ouest","SO","A","SO-A-1004005","20140701",20150701,"Ouverte",,"Asphalté ou bétonnée",151.877,,,"20191104"
406410,"Sud-Ouest","SO","I","SO-I-1003001","20180701",20190815,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",848.959,"61.26",,"20191101"
402230,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000076","20150701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",144.26,,,"20191127"
402231,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000106","20180701",,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",144.263,,,"20191129"
402237,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000012","20110701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",145.274,,,"20191129"
402239,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000082","20160701",,"Ouverte","Mobilier","Asphalté ou bétonnée",145.284,,,"20191127"
400361,"Côte-Des-Neiges - Notre-Dame-de-Grâce","CDNNDG","T","CDNNDG-T-1000001","20160731",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1027.791,"85.7",,"20190718"
400492,"Côte-Des-Neiges - Notre-Dame-de-Grâce","CDNNDG","T","CDNNDG-T-1000003","20150615",20160531,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1072.771,"45.49",,"20190718"
