no_demande,arrondissement,date_premiere_inspection,statut_demande,nb_logements_inspectes,nb_non_conformite,taux_correction,quartier_de_reference_num,quartier_de_reference_nom,x,y,longitude,latitude
3000135152,"Verdun","2009-05","Fermée",15,133,,"64","Verdun-Centre",299405.65818991465,5036120.9500359325,-73.5689825366235,45.46499577422569
3000135153,"Verdun","2009-04","Fermée",27,70,,"64","Verdun-Centre",298713.2935448996,5035928.228760939,-73.5778340621688,45.4632558849709
3000135155,"Verdun","2009-04","Fermée",6,37,,"64","Verdun-Centre",298713.2935448996,5035928.228760939,-73.5778340621688,45.4632558849709
3000135156,"Verdun","2009-04","Fermée",15,48,,"64","Verdun-Centre",299645.3618149174,5035869.41963594,-73.5659145846897,45.4627341913947
3000135158,"Verdun","2009-04","Fermée",27,226,,"64","Verdun-Centre",299645.3618149174,5035869.41963594,-73.5659145846897,45.4627341913947
3000135159,"Verdun","2009-05","Fermée",27,185,,"64","Verdun-Centre",299645.3618149174,5035869.41963594,-73.5659145846897,45.4627341913947
3000184950,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299547.0842999168,5035677.952335938,-73.5671692549614,45.46101054286739
3000184961,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299540.6539999098,5035579.268785942,-73.567250423735,45.460122491425686
3000184967,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299853.1319999162,5035461.264785949,-73.5632536322938,45.45906291569099
3000184969,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299853.1319999162,5035461.264785949,-73.5632536322938,45.45906291569099
3000184971,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299845.94899992336,5035370.503785949,-73.563344563918,45.458246152391204
3000184976,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299845.94899992336,5035370.503785949,-73.563344563918,45.458246152391204
3000184978,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299845.94899992336,5035370.503785949,-73.563344563918,45.458246152391204
3000184982,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299845.94899992336,5035370.503785949,-73.563344563918,45.458246152391204
3000184990,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299202.17375490756,5035600.883110949,-73.57157875978491,45.4603143576152
3000184994,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",298869.5139999045,5035721.20678594,-73.5758338895978,45.46139434419909
3000184998,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299534.26365990797,5035480.584810958,-73.56733107901782,45.45923443626601
3000184999,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299195.0168149054,5035502.395235951,-73.5716691518871,45.459428057925
3000185002,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",298869.5139999045,5035721.20678594,-73.5758338895978,45.46139434419909
3000185062,"Verdun","2012-07","Fermée",10,125,,"64","Verdun-Centre",299214.55654491065,5035798.22603594,-73.5714226646857,45.46209024495439
3000185064,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",298869.5139999045,5035721.20678594,-73.5758338895978,45.46139434419909
3000185066,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",298829.3323698993,5035095.667985955,-73.576340100729,45.45576509566829
3000185067,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299553.3969999105,5035776.635785936,-73.5670895874331,45.46189859233119
3000185069,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299045.1670799087,5035808.757085942,-73.5735888177845,45.46218363359589
3000185070,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299045.1670799087,5035808.757085942,-73.5735888177845,45.46218363359589
3000185073,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299045.1670799087,5035808.757085942,-73.5735888177845,45.46218363359589
